Localidad,Departamento,Fuente,Tipo_Punto,PUNTO_DE_MUESTREO,Fecha_de_monitoreo,Ph,T_°C,TDS_mg_l,Turb_NTU,Salinidad_mg_l,As_mg_l,Fluor_mg_l,NO3_mg_l,OD_mg_l,Sat_O2_pct,Clorofila_ug_l,Algas_BGA,Cloro_libre_mg_l,Latitud,Longitud
SAN MIGUEL,POMAN,SUPERFICIAL,,CIS,4/11/2025,8.55,25.3,134.9,0.66,133.06,0.004,0.18,0.72,,,,,,-28.143422,-66.190556
COLPES,POMAN,SUPERFICIAL,,CIS,4/11/2025,8.58,8.58,54.75,0.39,55.47,0.004,0.23,2.6,,,,,,-28.059194,-66.188979
SAN JOSE DE LAS FLORES,POMAN,SUPERFICIAL,,CIS,5/23/2025,8.49,12.8,86.75,1.26,86.02,0.004,4.96,2.76,,,,,,-28.042662, -66.132487
JOYANGO,POMAN,SUPERFICIAL,,CIS,5/23/2025,8.33,12.2,129.8,0.2,127.74,0.004,1.33,2.07,,,,,,-28.095288,-66.116854
LAS CASITAS,POMAN,SUPERFICIAL,,CIS,5/23/2025,8.01,10.4,124.5,0.72,122.3,0.004,1.2,1.7,,,,,,-28.145471,-66.145776
RINCON,POMAN,SUPERFICIAL,,CIS,5/23/2025,8.46,12.9,115.2,0.78,114.37,0.004,5.03,2,,,,,,-28.227439,-66.127915
APOYACO,POMAN,SUPERFICIAL,,CIS,5/23/2025,8.36,13.3,227.3,0.48,218.37,0.004,2.57,2.02,,,,,,-28.307186,-66.13169
MUTQUIN,POMAN,SUPERFICIAL,,CIS,5/23/2025,8.82,12.2,92.85,0.2,92.74,0.004,0.3,1.8,,,,,,-28.329114,-66.132707
ROSARIO DE COLANA,POMAN,SUPERFICIAL,,CIS,5/23/2025,8.55,13.8,107.2,1.26,106.94,0.004,0.31,0.54,,,,,,-28.366712,-66.152487
RETIRO DE COLANA,POMAN,SUPERFICIAL,,CIS,5/23/2025,8.65,12.5,112.7,1.14,121.54,0.004,0.67,0.59,,,,,,-28.366472, -66.139142
VILLA DE POMAN,POMAN,MEZCLA,,CIS,5/23/2025,8.13,15.9,229.7,1.04,221.63,0.004,0.69,0.73,,,,,,28.396109,-66.213593
VILLA DE POMAN,POMAN,SUBTERRANEA,,CIS,5/23/2025,7.48,17.8,254.1,0.39,244.48,0.004,0.68,0.72,,,,,,28.396109,-66.213593
VILLA DE POMAN,POMAN,SUBTERRANEA,,POZO N° 1  ,5/23/2025,7.59,17.8,260.4,0.24,250.11,0.004,0.68,0.47,,,,,,-28.406382,-66.201752
SAN JOSE DE LAS FLORES,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.49,21.3,87.19,1.51,87.3,0.004,2.59,1.3,,,,,,-28.042547,-66.131995
COLPES,POMAN,SUPERFICIAL,,ENTRADA PLANTA ,11/26/2024,8.3,23.5,55.19,3.3,55.4,0.004,0.88,1.4,,,,,,-28.059363,-66.188432
COLPES,POMAN,SUPERFICIAL,,CIS,11/26/2024,8.06,24.3,55.25,2.93,55.44,0.004,0.86,1.2,,,,,,-28.059194,-66.188979
JOYANGO,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.22,21.6,92.5,3.86,92.54,0.004,0.89,0.89,,,,,,-28.095352,-66.116723
LAS CASITAS,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.51,26.3,127.9,0.53,127.3,0.004,0.89,1.23,,,,,,-28.145448, -66.145685
SAN MIGUEL,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.87,27.6,127.8,0.88,127.23,0.004,0.98,1.7,,,,,,-28.143422,-66.190556
EL POTRERO,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.82,25.2,115.8,0.94,115.39,0.004,0.54,2.8,,,,,,-28.183808,-66.143357
SAUJIL,POMAN,SUBTERRANEA,,POZO EL MATADERO,11/26/2024,7.82,25.4,441.3,0.21,417.28,0.004,1.16,2.35,,,,,,-28.166029,-66.219881
RINCON,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.42,22.3,129.6,0.89,127.87,0.004,3.09,2.4,,,,,,-28.227493,-66.127797
APOYACO,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.84,21,232.7,1,222.53,0.004,1.74,4.2,,,,,,-28.307242, -66.131749
MUTQUIN,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.79,20.3,100.3,0.69,99.97,0.004,0.26,3.4,,,,,,-28.329251,-66.132584
RETIRO DE COLANA,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.54,20.6,118.2,0.25,116.93,0.004,0.23,7.5,,,,,,-28.366534,-66.139164
ROSARIO DE COLANA,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.61,19.7,118.7,0.38,117.12,0.004,0.23,4.2,,,,,,-28.366645,-66.152451
VILLA DE POMAN,POMAN,SUBTERRANEA,,ENTRADA A PLANTA,11/26/2024,8.21,21.8,214.7,1.09,207.23,0.004,0.49,2.5,,,,,,-28.401036,-66.205334
SIJAN,POMAN,SUPERFICIAL,,ENTRADA A PLANTA,11/26/2024,8.72,25.6,78.73,2.13,79.36,0.004,1.99,1.4,,,,,,-28.26427,-66.198013
MIRAFLORES,CAPAYAN,SUBTERRANEA,,POZO,3/26/2025,6.93,20,471.5,0.47,441.6,0.004,0.24,17.8,,,,,,-28.599129,-65.901671
TRAMPASACHA,CAPAYAN,SUPERFICIAL,,CIS,5/29/2025,6.9,8.4,298.6,0.41,281.28,0.004,0.38,2.21,,,,,,-28.833026, -66.305484
CHUMBICHA,CAPAYAN,SUBTERRANEA,,POZO N°2,5/29/2025,7.41,14.8,796.6,4.24,730.88,0.01,0.88,26.66,,,,,,-28.854864,-66.231124
LOS ANGELES,CAPAYAN,SUPERFICIAL,,CIS,6/9/2025,8.27,8,82.12,0.41,91.39,0.004,0.28,0.11,,,,,,-28.445939,-65.950845
HUILLAPIMA,CAPAYAN,SUPERFICIAL,,CIS,6/9/2025,8.03,14.5,177.2,0.3,171.52,0.004,0.09,0.3,,,,,,-28.715946,-65.993981
SAN PABLO,CAPAYAN,SUPERFICIAL,,CIS,6/9/2025,8.35,13.2,189.3,0.88,181.89,0.004,0.35,0.85,,,,,,-28.695933,-66.040107
CONCEPCION,CAPAYAN,SUPERFICIAL,,CIS,6/9/2025,8.02,15.9,316.8,0.22,296.26,0.01,0.47,3.16,,,,,,-28.681595,-66.069717
SAN PEDRO,CAPAYAN,SUPERFICIAL,,CIS,6/9/2025,8.48,12.7,323.7,0.95,300.67,0.01,0.61,0.81,,,,,,-28.731781,-66.138136
HUILLAPIMA,CAPAYAN,SUBTERRANEA,,POZO N°1,6/9/2025,7.75,20.3,500.8,0.27,466.56,0.004,0.13,21.23,,,,,,-28.73412,-65.974941
HUILLAPIMA,CAPAYAN,SUBTERRANEA,,POZO LA DORA,6/9/2025,7.86,23.1,354.6,0.18,338.18,0.01,0.12,19.04,,,,,,-28.719519,-65.948422
MIRAFLORES,CAPAYAN,SUBTERRANEA,,POZO,6/9/2025,7.05,20.1,371.2,0.38,349.25,0.004,0.24,9.44,,,,,,-28.599129,-65.901671
MIRAFLORES,CAPAYAN,SUPERFICIAL,,CIS,6/9/2025,7.8,15.2,193.5,3.25,186.3,0.004,0.34,0.76,,,,,,-28.582933,-65.906087
NUEVA CONETA,CAPAYAN,SUBTERRANEA,,POZO N° 3,9/5/2025,7.54,24.8,314.5,0.24,310.72,0.01,0.23,4,,,,,,-28.567763,-65.854262
NUEVA CONETA,CAPAYAN,SUBTERRANEA,,POZO N° 4,9/5/2025,7.76,23.7,207.7,0.3,208.96,0.006,0.15,3.38,,,,,,-28.564631,-65.849579
SAN MARTIN,CAPAYAN,SUBTERRANEA,,POZO MUNICIPAL,9/29/2025,7.84,26.6,889.8,0.59,842.24,0.07,0.99,8.5,,,,,,-29.217246,-65.777045
PUESTO NUEVO,CAPAYAN,SUBTERRANEA,,POZO,10/10/2025,7.8,17.8,2549,0.7,2188.8,0.05,2.47,15.34,,,,,,-29.403748,-65.574299
SAN MARTIN,CAPAYAN,SUBTERRANEA,,POZO OSCA,8/30/2027,7.46,23.8,924.8,0.47,844.16,0.06,1.47,8.84,,,,,,-29.221666,-65.776756
LAS ANIMAS,CAPAYAN,SUBTERRANEA,,POZO,9/2/2024,7.24,27,1826,0.69,1639.04,0.01,0.24,40.05,,,,,,-29.076584,-65.764246
PUESTO NUEVO,CAPAYAN,SUBTERRANEA,,POZO,9/2/2024,7.85,27.6,2338,0.6,2078.72,0.06,3.51,20.34,,,,,,-29.403748,-65.574299
PUESTO NUEVO,CAPAYAN,SUBTERRANEA,,VERT DON DIEGO,9/2/2024,7.7,23.6,591.5,1.43,565.89,0.01,0.72,12.74,,,,,,-29.300362,-65.618078
NUEVA CONETA,CAPAYAN,SUBTERRANEA,,POZO ESC. AGROTECNICA,27/09/2024,7.13,26.8,1603,0.87,1426.56,0.01,0.14,260.2,,,,,,-28.547823,-65.829785
SAN MARTIN,CAPAYAN,SUBTERRANEA,,POZO MUNICIPAL,11/8/2024,7.15,26.6,942.4,0.3,871.68,0.07,1.42,10,,,,,,-29.217246,-65.777045
SAN MARTIN,CAPAYAN,SUBTERRANEA,,POZO MUNICIPAL,11/29/2024,7.61,26.2,938.1,0.89,869.12,0.1,1.63,10.47,,,,,,-29.217246,-65.777045
SAN MARTIN,CAPAYAN,SUBTERRANEA,,POZO OSCA,11/29/2024,7.85,26.3,926.2,0.33,861.44,0.1,1.73,9.84,,,,,,-29.221666,-65.776756
CARRANZA,CAPAYAN,SUBTERRANEA,,POZO,12/20/2024,8.95,30.5,311.3,0.59,301.06,0.05,1.02,12.04,,,,,,-29.025406,-66.002606
ANQUINCILA,ANCASTI,SUBTERRANEA,,POZO N° 1 VIALIDAD,1/2/2025,7.1,22.4,469.1,1.87,441.66,0.01,0.47,1.6,,,,,,-28.747547,-65.55202
ANQUINCILA,ANCASTI,SUBTERRANEA,,POZO N° 2 VIALIDAD,1/2/2025,7,22.5,476.1,12.6,448.32,0.01,0.55,1.61,,,,,,-28.747547,-65.55202
IPIZCA,ANCASTI,SUPERFICIAL,,DIQUE IPIZCA ,5/6/2025,8.54,19.3,164.7,4.48,163.65,0.01,0.36,4.77,9.5,96.5,103.5,8630,,-28.819065,-65.541275
ANQUINCILA,ANCASTI,SUPERFICIAL,,CIS,6/11/2025,8.15,12.5,190.9,1.74,183.04,0.003,0.3,1.39,,,,,,-28.746228,-65.554597
SAN JOSE,ANCASTI,SUPERFICIAL,,POZO,6/11/2025,8.51,15.9,453.3,1.09,419.9,0.01,0.4,16.19,,,,,,-28.685199,-65.475262
CAÑADA DE PAEZ,ANCASTI,SUPERFICIAL,,CIS,6/11/2025,7.97,16.5,512.3,0.8,473.98,0.003,0.51,0.69,,,,,,-28.700028,-65.499457
RINCON DE IPIZCA,ANCASTI,SUPERFICIAL,,CIS,8/11/2025,7.8,8.5,161.5,0.24,153.98,0.003,0.17,2.8,,,,,,-28.852201,-65.569255
CAÑADA DE IPIZCA,ANCASTI,SUBTERRANEA,,CIS,8/11/2025,7.54,18.3,405.5,0.4,361.22,0.003,0.52,6.39,,,,,,-28.807624,-65.537076
VILLA DE  ANCASTI,ANCASTI,SUPERFICIAL,,CIS EL ALTO,8/11/2025,8.29,13.7,194.8,0.48,185.28,0.003,0.26,5.85,,,,,,-28.818404,-65.497408
VILLA DE  ANCASTI,ANCASTI,SUBTERRANEA,,POZO,8/11/2025,7.92,13.7,198.8,0.72,188.61,0.003,0.28,5.38,,,,,,-28.806498,-65.503086
POTRERO DE LOS CORDOBAS,ANCASTI,SUBTERRANEA,,POZO,8/11/2025,7.2,17.6,431.1,0.48,396.93,0.003,0.5,10.8,,,,,,-28.893141,-65.470691
EL COMEDERO,ANCASTI,SUBTERRANEA,,POZO,9/9/2025,7.32,16.3,224.5,0.49,219.9,0.003,0.2,0.16,,,,,,-28.93079,-65.577914
LA MAJADA,ANCASTI,SUBTERRANEA,,POZO N°1,9/9/2025,7.44,19.9,269.7,0.54,263.36,0.003,0.19,5.47,,,,,,-29.027238,-65.54906
YERBA BUENA,ANCASTI,SUBTERRANEA,,POZO N°2,9/9/2025,7.8,19.8,234.9,3.9,231.1,0.01,0.26,1.28,,,,,,-29.00564,-65.461287
EL TALAR,ANCASTI,SUBTERRANEA,,POZO,9/9/2025,7.63,22.5,507.4,0.24,488.32,0.01,0.69,19.73,,,,,,-28.980895,-65.417332
SAN FRANCISCO,ANCASTI,SUBTERRANEA,,POZO,9/9/2025,7.45,21,390.1,3.72,377.34,0.02,0.53,17.21,,,,,,-28.966726,-65.42205
CAÑADA DE IPIZCA,ANCASTI,SUPERFICIAL,,CIS,10/1/2025,7.66,18.4,427.2,0.66,409.09,0.01,0.59,3.52,,,,,,-28.807624,-65.537076
HUMAYA,AMBATO,SUPERFICIAL,,CIS,8/5/2025,8.47,7.3,84.64,0.9,81.34,0.004,0.16,1.95,,,,,,-27.88145,-65.985806
LAS PIEDRAS BLANCAS,AMBATO,SUPERFICIAL,,CIS LOS TIMONES,8/5/2025,8.25,11.1,68.79,10.4,66.82,0.004,0.34,1.99,,,,,,-28.034805,-65.942104
LAS JUNTAS,AMBATO,SUPERFICIAL,,CIS PTA N° 2,8/5/2025,8.19,9.2,45.4,0.94,43.95,0.004,0.17,0.97,,,,,,-28.090842,-65.904842
LAS JUNTAS,AMBATO,SUPERFICIAL,,CIS PTA N° 1,8/5/2025,8.18,9.8,83.32,1.02,80.7,0.004,0.3,2.75,,,,,,-28.133448,-65.900702
EL RODEO,AMBATO,SUPERFICIAL,,CIS PTA N° 1,8/5/2025,7.91,10,65.73,0.99,63.6,0.004,0.21,1.56,,,,,,-28.215371,-65.883613
EL RODEO,AMBATO,SUPERFICIAL,,CIS PTA N° 2,8/5/2025,7.9,12.8,118.5,1.86,114.5,0.004,0.2,12.76,,,,,,-28.225497,-65.880639
EL RODEO,AMBATO,SUBTERRANEA,,POZO CAMINO A LA FE,8/5/2025,7.4,17.9,380.6,1.63,352.7,0.003,0.43,3.23,,,,,,-28.2481,-65.874429
COLPES,AMBATO,SUPERFICIAL,,ENTRADA A PLANTA,9/23/2025,8.28,24.1,492.6,1.09,465.41,0.003,0.54,3.5,,,,,,-28.039153,-65.822581
SINGUIL,AMBATO,SUBTERRANEA,,POZO,10/9/2025,8.62,17.8,179,1.82,178.11,0.004,0.28,12,,,,,,-27.813744,-65.868046
LOS BULACIOS,AMBATO,SUPERFICIAL,,SALIDA DE FILTRO,11/22/2024,8.65,25.2,154.7,0.51,155.71,0.004,1.81,0.67,,,,,,-27.898318,-65.824251
COLONIA DE ACHALCO,EL ALTO,SUPERFICIAL,,CIS ,7/31/2025,7.97,17.4,662.8,0.27,605.95,0.01,0.41,3.27,,,,,,-28.435608,-65.118298
ACHALCO,EL ALTO,SUPERFICIAL,,POZO,7/31/2025,8.17,20.2,135.4,0.71,133.44,0.004,0.33,3.72,,,,,,-28.376177,-65.165721
AYAPASO,EL ALTO,SUBTERRANEA,,POZO,7/31/2025,8.21,18.6,669.6,0.38,604.16,0.004,0.94,44.46,,,,,,-28.336195,-65.208453
CALDERA DEL SAUCE,EL ALTO,SUBTERRANEA,,POZO,7/31/2025,8.27,15.3,433.9,0.8,401.66,0.004,0.33,5.53,,,,,,-28.289066,-65.301517
LA HUERTA,EL ALTO,SUBTERRANEA,,POZO,7/31/2025,8.3,16.8,721.5,0.36,657.28,0.01,0.69,24.59,,,,,,-28.249777,-65.27988
EL ALTO,EL ALTO,SUPERFICIAL,,CIS,7/31/2025,8.41,14.7,231.8,0.7,220.1,0.01,0.79,2.17,,,,,,-28.318708,-65.376753
GUAYAMBA,EL ALTO,SUPERFICIAL,,CIS,7/31/2025,8.38,8.38,168.5,2.77,163.65,0.004,0.5,3.65,,,,,,-28.347942, -65.410041
TINTIGASTA,EL ALTO,SUBTERRANEA,,POZO,7/31/2025,8.3,8.3,765.7,0.9,75.84,0.01,1.2,3.47,,,,,,-28.39024,-65.455723
